user_id,account_name
6509832,CNNnews18
17739946,sajmad
20427564,raajkmishra
21191906,UnityInDiverse
29026043,rohitupadhyay
45036318,jawahar4
45599926,betki
47596486,chitralekhamag
72325162,manujsharan
98306492,arvndbs
107704781,shri8354
107772895,AZAAN_SHAH
113644277,K_Sharma05
132826459,mohsinbright
140804843,ss_prem
146403829,mudasirjaveed
146733948,GotArealPM
149409949,SachinDhariwal7
153694468,mchandratwit
155300386,sdtop4444
167426621,GDuttTweets
170270410,sameerdontulwar
179003453,chennak418
186371387,skbutp
197555319,Ritesh_Here
215381051,jeetu_1990
218234773,shikharpandey52
230047662,HellBatFE
234559256,letsgethere
247689583,malaya_asis
253569945,withpkvasu
271918005,unofficial4u
274426734,Naveen_Guptaa
292233896,PragatiKavilkar
303620349,imRoPe17
338885486,maqubool
341526650,Prateekiam1
363064025,IndiafirstVM
364095452,PoppyVerma
371172019,chinmaya199
388284448,subrito_haldar
410364402,amitsingh9897
415456235,shripadkatarane
494743499,imsalmansam
577272429,rubusmubu
607843189,gcdubey786
712763496,TheSNFD
757563008,SamirGahlaut
777924942,sachinkapadiya
809460985,MeBhanu777
811098151,SanathanBharat
822753624,satyanarayanaak
837632149,indpawarMT
849066906,vasuki_bhujang
945452161,2611rachna
1032172358,JKP_MBBlr
1113627067,warewolf999
1137130116,AbhilashaChoudh
1154178342,pokaabhii
1244405610,kannanpitchai1
1622467069,vagrawa3
1665456559,AnkitKabra30
1728473401,ajena008
1919608992,SShukla2001
1959820482,sriman21491199
2171794853,roysayan544
2212624748,OurIndiaFirst19
2299215920,KumarSanjay_7
2304952462,naveensimon16
2373081499,paddi200
2410471975,SpeakingHemant
2415024589,Hind_Ka_Vasi
2480047106,ARUNSHARMA2304
2522696929,ABKamalapur
2527449462,SGarlapad
2549761860,Sparklemind1
2556535398,inditroika
2567530748,sandeepkol66
2572838965,JayJayGatty
2580534825,manishwithtruth
2832997050,neerajmishra980
2893774440,OMohatta
2916698305,tweet2aadhivasi
3039972427,jhasanjay_2015
3229802634,jhakaspathak
3235716961,Rohits_17
3281500746,sanatni_hindu
3294945871,nishantbinky
3630068424,Muaaaahrwadi
3930331702,VirkAnnie
3980321234,Vidyakailankaje
4148882473,Sanojgautam
4325261772,ArvindKaul9
4831511589,GuriOfficial
4882918045,h_akshata
4911493586,DeepakP28913573
7.11E+17,ZumbaZoo246
7.19E+17,MALLERSOWMYA
7.27E+17,chandrav09
7.38E+17,Ram_Saraswat34
7.39E+17,asianet_tamil
7.42E+17,BhaveshMH12
7.43E+17,Jayshan28792915
7.47E+17,alokoak2
7.52E+17,mg_sathyavani
7.62E+17,akmohanty07
7.76E+17,AkshayB12338466
7.78E+17,27sjs
7.82E+17,jyothi_heramba
7.86E+17,jayrajsinh3931
7.96E+17,rustedtruth
8.02E+17,247nil247_1
8.18E+17,AzmatAl74515558
8.27E+17,Rudra_Aksh27
8.31E+17,Lucky11India91
8.37E+17,Batman2715
8.37E+17,AshokKamble22
8.38E+17,vellai97811177
8.49E+17,ShahilQureshi8
8.56E+17,Anandkvp0207
8.65E+17,Ravish918
8.68E+17,luvmeimfaiz
8.85E+17,ArifAzad15
8.88E+17,Tanveer62316835
8.89E+17,Adarshlal91
9.03E+17,BriticanEnglish
9.13E+17,gautam_sanoj
9.13E+17,dharmadispatch
9.20E+17,SureshPuyal
9.25E+17,abhishe75178835
9.47E+17,TirupatiPoojari
9.49E+17,shahbaznke
9.51E+17,v2infotechnoida
9.52E+17,BST_2018
9.82E+17,Kathiranith
9.86E+17,udhaykups
9.91E+17,AAGAKHANPATHAN3
1.00E+18,Malinga66168755
1.01E+18,VKTiwar15761919
1.02E+18,HellBlazer29
1.03E+18,AbhaySi79797825
1.03E+18,Aayush74670776
1.03E+18,SARA97589810
1.05E+18,MdParwe98839425
1.05E+18,Keerthu7411
1.06E+18,Dnyanes85293200
1.06E+18,DipakCh09254211
1.07E+18,Sakshimundra4
1.08E+18,RDeshwasi
1.09E+18,TejpalParmar10
1.09E+18,Mithilesh7727
1.10E+18,anu04706249
1.10E+18,ShailendraSet14
1.10E+18,suresh69085987
1.10E+18,Firdous19492759
1.11E+18,NancyGautam01
1.11E+18,MaheshS91439484
1.13E+18,tinkeshvg
1.13E+18,stay_virtue
1.13E+18,BetiMSGKi51
1.13E+18,VishnubhatlaAp2
1.13E+18,RoyalRajputni
1.15E+18,AbhayYa32148807
1.16E+18,54XGPo3xCjzb15M
1.16E+18,Rubina11835471
1.16E+18,AnkitSi50397127
1.16E+18,Shreef_dewana
1.16E+18,Jai_kr_
1.17E+18,Sunil74345035
1.17E+18,mythofiction
1.17E+18,GondiaYouth
1.17E+18,KathKoshur
1.17E+18,KanadKale
1.17E+18,PabanDa97908689
1.17E+18,GiriS_Indian
1.17E+18,libetard
1.17E+18,aamman22
1.18E+18,SharikAli25
1.18E+18,NarendranegiRa5
1.18E+18,BalarPranjal
1.18E+18,JbSharm49844647
1.18E+18,Prakash72091622
1.18E+18,Tushant66549740
1.19E+18,j2WuWN
1.19E+18,HappyJangra18
1.19E+18,MeMeowBliss19
1.19E+18,AshokHaritwal6
1.19E+18,aaditti_sarifa
1.19E+18,s_dandona
1.19E+18,Gurdeep10118207
